店家,分類,品項,尺寸,價格
E餐菜單 - 中山河粉,主餐,紅燒牛肉 (河粉/通心粉/麵/米粉),,100
E餐菜單 - 中山河粉,主餐,牛肉 (河粉/通心粉/麵/米粉),,100
E餐菜單 - 中山河粉,主餐,雞肉 (河粉/通心粉/麵/米粉),,90
E餐菜單 - 中山河粉,主餐,豬肉 (河粉/通心粉/麵/米粉),,90
E餐菜單 - 中山河粉,主餐,海鮮 (河粉/通心粉/麵/米粉),,90
E餐菜單 - 中山河粉,主餐,雞肉酸辣麵,,90
E餐菜單 - 中山河粉,主餐,泰式腿排米線,,90
E餐菜單 - 中山河粉,主餐,乾拌米線,,70
E餐菜單 - 中山河粉,小吃,涼皮春捲,,70
E餐菜單 - 中山河粉,小吃,炸春捲,,70
E餐菜單 - 中山河粉,麵包,紅燒牛肉麵包,,90
E餐菜單 - 中山河粉,麵包,泰式麵包,,80
E餐菜單 - 中山河粉,麵包,越南麵包,,80
E餐菜單 - 中山河粉,湯類,牛肉湯,,70
E餐菜單 - 中山河粉,湯類,雞肉/豬肉湯,,60
E餐菜單 - 中山河粉,湯類,海鮮湯,,60
E餐菜單 - 古早味麵食坊,拌麵系列,辣瓣乾麵,,80
E餐菜單 - 古早味麵食坊,拌麵系列,紅燒雞腿骨乾拌麵,,90
E餐菜單 - 古早味麵食坊,拌麵系列,香煎豬排乾拌麵,,90
E餐菜單 - 古早味麵食坊,拌麵系列,黑胡椒豬柳鐵板麵,,70
E餐菜單 - 古早味麵食坊,古早味系列,餛飩麵,,65
E餐菜單 - 古早味麵食坊,古早味系列,榨菜肉絲麵,,60
E餐菜單 - 古早味麵食坊,古早味系列,陽春麵,,50
E餐菜單 - 古早味麵食坊,古早味系列,鹽水意麵,,50
E餐菜單 - 古早味麵食坊,古早味系列,冬粉貢丸(湯),,45
E餐菜單 - 古早味麵食坊,古早味系列,酸辣湯麵,,60
E餐菜單 - 古早味麵食坊,古早味系列,酸辣湯餃,,60
E餐菜單 - 古早味麵食坊,古早味系列,沙茶乾麵,,55
E餐菜單 - 古早味麵食坊,古早味系列,麻醬乾麵(可素),,55
E餐菜單 - 古早味麵食坊,古早味系列,醋乾麵(可素),,55
E餐菜單 - 古早味麵食坊,水餃,高麗菜水餃,每粒,5
E餐菜單 - 古早味麵食坊,水餃,玉米水餃,每粒,5
E餐菜單 - 古早味麵食坊,水餃組合餐,10粒+湯,,75
E餐菜單 - 古早味麵食坊,水餃組合餐,15粒+湯,,100
E餐菜單 - 古早味麵食坊,湯類,酸辣湯,,30
E餐菜單 - 古早味麵食坊,湯類,豆腐味噌湯,,30
E餐菜單 - 古早味麵食坊,湯類,貢丸湯,,30
E餐菜單 - 古早味麵食坊,湯類,魚丸湯,,30
E餐菜單 - 古早味麵食坊,湯類,紫菜蛋花湯,,30
E餐菜單 - 古早味麵食坊,湯類,餛飩湯,,45
E餐菜單 - 古早味麵食坊,鍋燒系列,意麵,,70
E餐菜單 - 古早味麵食坊,鍋燒系列,烏龍麵,,70
E餐菜單 - 古早味麵食坊,鍋燒系列,雞絲麵,,70
E餐菜單 - 古早味麵食坊,鍋燒系列,冬粉,,70
E餐菜單 - 古早味麵食坊,鍋燒系列,拉麵,,70
E餐菜單 - 古早味麵食坊,配料,滷蛋,,10
E餐菜單 - 古早味麵食坊,配料,荷包蛋,,10
E餐菜單 - 古早味麵食坊,配料,麵,,10
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,原味蛋餅,,25
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,起士蛋餅,,35
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,培根蛋餅,,45
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,火腿蛋餅,,45
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,熱狗蛋餅,,40
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,肉鬆蛋餅,,40
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,玉米蛋餅,,40
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,鮪魚蛋餅,,45
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,燻雞蛋餅,,50
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,豬柳蛋餅,,50
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,漢堡肉蛋餅,,50
E餐菜單 - 小茶點茶坊（早餐）,蛋餅類,燒肉蛋餅,,50
